Title,Year,Conference
"Make a video",2023,ICCV
"Vlogger: Make Your Dream A Vlog",2024,arXiv
"Align your Latents",2023,CVPR
"Tell Me What Happened: Unifying Text-guided Video Completion",2023,CVPR
"VIDEO DIFFUSION MODELS",2022,NeurIPS
"Long Video Generation with Time-AgnosticVQGAN",2022,ECCV
"Flexible Diffusion Modeling of Long Videos",2022,NeurIPS
"MCVD: Masked Conditional Video Diffusion",2022,NeurIPS
"LayoutGPT: Compositional Visual Planning",2023,NeurIPS
"Make-It-4D: Synthesizing a Consistent Long-Term Dynamic Scene",2023,ACM 